TITLE,YEAR,BIBREF,AUTHORS,JOURNAL,DETECTED_METHODS,CONFIDENCE,HAS_METHODS,UNCERTAINTY_STATEMENTS,DECISION_ANALYSIS,POLICY_INTERVENTION,UNCERTAINTY_ANALYSIS,STAKEHOLDER_EXPERT,MODELING_SIMULATION,BAYESIAN_PROBABILISTIC,COMPUTER_ASSISTED,VALUE_INFORMATION,MULTI_CRITERIA,OPTIMIZATION,ECONOMIC_EVALUATION,GAME_THEORY,BEHAVIORAL_PSYCHOLOGY,SYSTEMS_COMPLEXITY,TECHNOLOGY_INNOVATION,ENVIRONMENTAL_SUSTAINABILITY,QUALITY_PERFORMANCE,RISK_SAFETY,FORECASTING_PREDICTION,EVALUATION_ASSESSMENT,ABSTRACT,KEYWORDS
An Investigation of Microenterprise Capability-Building via Access and Use of Technology,2011,goodInvestigationMicroenterpriseCapabilitybuilding2011,"Good, Travis",Student Work,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
An Investigation of Successful Implementation of Social Media by Small and Medium-Sized Businesses,2011,garrettInvestigationSuccessfulImplementation2011,"Garrett, Veronica A.",,TECHNOLOGY_INNOVATION(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
An Investigation of Successful Implementation of Social Media by Small and Medium-Sized Businesses,2011,garrettInvestigationSuccessfulImplementation2011,"Garrett, Veronica A.",,TECHNOLOGY_INNOVATION(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
An Invitation to Portfolio Decision Analysis,2011,saloInvitationPortfolioDecision2011,"Salo, Ahti and Keisler, Jeffrey and Morton, Alec",Portfolio Decision Analysis: Improved Methods for Resource Allocation,DECISION_ANALYSIS(0.45),0.022,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Analysis of Keyword Networks in MIS Research and Implications for Predicting Knowledge Evolution,2011,choiAnalysisKeywordNetworks2011,"Choi, Jinho and Yi, Sangyoon and Lee, Kun Chang",Information \& Management,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Analysis of the Bullwhip Effect with Order Batching in Multi-Echelon Supply Chains,2011,hussainAnalysisBullwhipEffect2011,"Hussain, Matloub and Drake, Paul R.",International Journal of Physical Distribution \& Logistics Management,DECISION_ANALYSIS(0.35); MODELING_SIMULATION(0.35); COMPUTER_ASSISTED(0.35); VALUE_INFORMATION(0.35); SYSTEMS_COMPLEXITY(0.85),0.113,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"Purpose -- The purpose of this paper is to analyze the effect of batching on bullwhip effect in a model of multi-echelon supply chain with information sharing. Design/methodology/approach -- The model uses the system dynamics and control theoretic concepts of variables, flows, and feedback processes and is implemented using iThink w software. Findings -- It has been seen that the relationship between batch size and demand amplification is non-monotonic. Large batch sizes, when combined in integer multiples, can produce order rates that are close to the actual demand and produce little demand amplification, i.e. it is the size of the remainder of the quotient that is the determinant. It is further noted that the value of information sharing is greatest for smaller batch sizes, for which there is a much greater improvement in the amplification ratio.",
Analyzing Online B2B Exchange Markets: Asymmetric Cost and Incomplete Information,2011,liAnalyzingOnlineB2B2011,"Li, Yung-Ming and Jhang-Li, Jhih-Hua",European Journal of Operational Research,BAYESIAN_PROBABILISTIC(0.35); COMPUTER_ASSISTED(0.50); EVALUATION_ASSESSMENT(0.60),0.072,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"This research applies the discriminating auction to analyze the online B2B exchange market in which a single buyer requests multiple items and several suppliers having equal capacity and asymmetric cost submit bids to compete for buyer demand. In the present model, we examine the impact of asymmetric cost and incomplete information on the participants in the market. Given the complete cost information, each supplier randomizes its price and the lower bound of the price range is determined by the highest marginal cost. In addition, the supplier with a lower marginal cost has a larger considered pricing space but ultimately has a smaller equilibrium one than others with higher marginal costs. When each supplier's marginal cost is private information, the lowest possible price is determined by the number of suppliers and the buyer's reservation price. Comparing these two market settings, we find whether IT is beneficial to buyers or suppliers depends on the scale of the bid process and the highest marginal cost. When the number of suppliers and the difference between the highest marginal cost and the buyer's reservation price are sufficiently large, each supplier can gain a higher profit if the marginal costs are private information. On the contrary, when the highest marginal cost approaches the buyer's reservation price, complete cost information benefits the suppliers.",
Anatomy of WFP Emergency Operations,2011,shawAnatomyWFPEmergency2011,"Shaw, D. John and Shaw, D. John",The World's Largest Humanitarian Agency: the Transformation of the UN World Food Programme and of Food Aid,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antecedents of Application Service Continuance: A Synthesis of Satisfaction and Trust,2011,kimAntecedentsApplicationService2011,"Kim, Jeoungkun and Hong, Soongeun and Min, Jinyoung and Lee, Heeseok",Expert Systems with Applications,STAKEHOLDER_EXPERT(0.30); COMPUTER_ASSISTED(0.30),0.03,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Are Head-to-Head Trials of Biologics Needed? The Role of Value of Information Methods in Arthritis Research,2011,weltonAreHeadtoheadTrials2011a,"Welton, N. J. and Madan, J. and Ades, A. E.",Rheumatology,DECISION_ANALYSIS(0.50); POLICY_INTERVENTION(0.45); BAYESIAN_PROBABILISTIC(0.35); VALUE_INFORMATION(0.85); OPTIMIZATION(0.80); ECONOMIC_EVALUATION(0.45); TECHNOLOGY_INNOVATION(0.35); EVALUATION_ASSESSMENT(0.35),0.205,1,18,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,"Reimbursement decisions are typically based on cost-effectiveness analyses. While a cost-effectiveness analysis can identify the optimum strategy, there is usually some degree of uncertainty around this decision. Sources of uncertainty include statistical sampling error in treatment efficacy measures, underlying baseline risk, utility measures and costs, as well as uncertainty in the structure of the model. The optimal strategy is therefore only optimal on average, and a decision to adopt this strategy might still be the wrong decision if all uncertainty could be eliminated. This means that there is a quantifiable expected (average) loss attaching to decisions made under uncertainty, and hence a value in collecting information to reduce that uncertainty. Value of information (VOI) analyses can be used to provide guidance on whether more research would be cost-effective, which particular model inputs (parameters) have the most bearing on decision uncertainty, and can also help with the design and sample size of further research. Here, we introduce the key concepts in VOI analyses, and highlight the inputs required to calculate it. The adoption of the new biologic treatments for RA and PsA tends to be based on placebo-controlled trials. We discuss the possible role of VOI analyses in deciding whether head-to-head comparisons of the biologic therapies should be carried out, illustrating with examples from other fields. We emphasize the need for a model of the natural history of RA and PsA, which reflects a consensus view.",
Are They Learning? Are We? Learning Outcomes and the Academic Library,2011,oakleafAreTheyLearning2011,"Oakleaf, Megan",The Library Quarterly,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Assessing Differences between Physicians' Realized and Anticipated Gains from Electronic Health Record Adoption,2011,petersonAssessingDifferencesPhysicians2011,"Peterson, Lori T. and Ford, Eric W. and Eberhardt, John and Huerta, Timothy R. and Menachemi, Nir",Journal of Medical Systems,COMPUTER_ASSISTED(0.40); TECHNOLOGY_INNOVATION(0.40),0.04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Assessing the Value of Earth Observation for Managing Coral Reefs: An Example from the Great Barrier Reef,2011,boumaAssessingValueEarth2011b,"Bouma, Jetske A. and Kuik, Onno and Dekker, Arnold G.",Science of the Total Environment,DECISION_ANALYSIS(1.00); STAKEHOLDER_EXPERT(0.35); BAYESIAN_PROBABILISTIC(1.00); VALUE_INFORMATION(0.35); OPTIMIZATION(0.35); ENVIRONMENTAL_SUSTAINABILITY(0.70),0.188,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,"The Integrated Global Observing Strategy (IGOS, 2003) argues that further investments in Earth Observation information are required to improve coral reef protection worldwide. The IGOS Strategy does not specify what levels of investments are needed nor does it quantify the benefits associated with better-protected reefs. Evaluating costs and benefits is important for determining optimal investment levels and for convincing policy-makers that investments are required indeed. Few studies have quantitatively assessed the economic benefits of Earth Observation information or evaluated the economic value of information for environmental management. This paper uses an expert elicitation approach based on Bayesian Decision Theory to estimate the possible contribution of global Earth Observation to the management of the Great Barrier Reef. The Great Barrier Reef including its lagoon is a World Heritage Area affected by anthropogenic changes in land-use as well as climate change resulting in increased flows of sediments, nutrients and carbon to the GBR lagoon. Since European settlement, nutrient and sediment loads having increased 5--10 times and the change in water quality is causing damages to the reef. Earth Observation information from ocean and coastal color satellite sensors can provide spatially and temporally dense information on sediment flows. We hypothesize that Earth Observation improves decision-making by enabling better-targeted run-off reduction measures and we assess the benefits (cost savings) of this improved targeting by optimizing run-off reductions under different states of the world. The analysis suggests that the benefits of Earth Observation can indeed be substantial, depending on the perceived accuracy of the information and on the prior beliefs of decision-makers. The results indicate that increasing informational accuracy is the most effective way for developers of Earth Observation information to increase the added value of Earth Observation for managing coral reefs.",Bayesian; Bayesian Decision Analysis
Attention to Attention,2011,ocasioAttentionAttention2011,"Ocasio, William",Organization Science,GAME_THEORY(0.35); BEHAVIORAL_PSYCHOLOGY(0.35),0.035,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Organizational theory and research has increased attention to the determinants and consequences of attention in organizations. Attention is not, however, a unitary concept but is used differently in various metatheories: the behavioral theory of the firm, managerial cognition, issue selling, attention-based view, and ecology. At the level of the brain, neuroscientists have identified three varieties of attention: selective attention, executive attention, and vigilance. Attention is shaped by both top-down (i.e., schema-driven) and bottom-up (i.e., stimulus-driven) processes. Inspired by neuroscience research, I classify and compare three varieties of attention studied in organization science: attentional perspective (top-down), attentional engagement (combining top-down and bottom-up executive attention and vigilance), and attentional selection (the outcome of attentional processes). Based on research findings, I develop five propositions on how the varieties of attention in organization provide a theoretical alternative to theories of structural determinism or strategic choice, with a particular focus on the role of attention in explaining organizational adaptation and change.",perspective; selection; selective attention; vigilance
Auditing without Borders,2011,francisAuditingBorders2011,"Francis, Jere R.","Accounting, Organizations and Society",EVALUATION_ASSESSMENT(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Auditors' Understanding of Evidence: A Performance Audit of an Urban Development Programme,2011,reichborn-kjennerudAuditorsUnderstandingEvidence2011,"Reichborn-Kjennerud, Kristin and Johnsen, ge",Evaluation,EVALUATION_ASSESSMENT(0.85),0.043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Background Paper Surveying the World of Visualization,2011,lindquistBackgroundPaperSurveying2011,"Lindquist, Evert",,COMPUTER_ASSISTED(0.40),0.02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Background Paper Surveying the World of Visualization,2011,lindquistBackgroundPaperSurveying2011,"Lindquist, Evert",,COMPUTER_ASSISTED(0.40),0.02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bayesian Networks,2011,rahimanBayesianNetworks2011,"Rahiman, Nashad Abdul",,BAYESIAN_PROBABILISTIC(1.00),0.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bayesian
Bayesian Networks for Modeling Dredging Decisions,2011,schultzBayesianNetworksModeling2011,"Schultz, Martin T. and Borrowman, Thomas David and Small, Mitchell J.",,BAYESIAN_PROBABILISTIC(1.00),0.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bayesian
Bayesian Networks for Modeling Dredging Decisions,2011,schultzBayesianNetworksModeling2011,"Schultz, Martin T. and Borrowman, Thomas David and Small, Mitchell J.",,BAYESIAN_PROBABILISTIC(1.00),0.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bayesian
Bayesian Networks for Prospect Analysis in the North Sea,2011,martinelliBayesianNetworksProspect2011,"Martinelli, Gabriele and Eidsvik, Jo and Hauge, Ragnar and Frland, Maren Drange",AAPG Bulletin,BAYESIAN_PROBABILISTIC(1.00),0.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bayesian
Bayesian Supply Chain Tracking Using Serial-Level Information,2011,kelepourisBayesianSupplyChain2011,"Kelepouris, Thomas and Harrison, Mark and McFarlane, Duncan","IEEE Transactions on Systems, Man, and Cybernetics, Part C (applications and Reviews)",BAYESIAN_PROBABILISTIC(0.90); COMPUTER_ASSISTED(0.30); SYSTEMS_COMPLEXITY(0.40); EVALUATION_ASSESSMENT(0.30),0.095,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,,Bayesian
Best Practices for Aligning the Mission and Marketing the Services of the Corporate Library,2011,affeltBestPracticesAligning2011,"Affelt, Amy",Best Practices for Corporate Libraries,QUALITY_PERFORMANCE(0.45),0.022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Bone-Anchored Hearing Aids (BAHAs) for People Who Are Bilaterally Deaf: A Systematic Review and Economic Evaluation,2011,colquittBoneanchoredHearingAids2011,"Colquitt, J.L. and Jones, J. and Harris, P. and Loveman, E. and Bird, A. and Clegg, A.J. and Baguley, D.M. and Proops, D.W. and Mitchell, T.E. and Sheehan, P.Z. and Welch, K.",Health Technology Assessment,ECONOMIC_EVALUATION(0.80); TECHNOLOGY_INNOVATION(0.60); EVALUATION_ASSESSMENT(1.00),0.12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,,
Building Network Capabilities in Turbulent Competitive Environments: Practices of Global Firms from Korea and Japan,2011,parkBuildingNetworkCapabilities2011,"Park, Young Won and Hong, Paul",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Building Value in ITS Services by Analysing Information Service Supply Chains and Value Attributes,2011,leviakangasBuildingValueITS2011,"Levi\""akangas, Pekka",International Journal of Intelligent Transportation Systems Research,SYSTEMS_COMPLEXITY(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Business Models of Eco-Innovations,2011,bertensBusinessModelsEcoinnovations2011,"Bertens, Coen and Statema, Hidde","EIM (economisch Instituut Voor Het Midden-en Kleinbedrijf), Zoetermeer",TECHNOLOGY_INNOVATION(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
"C-Band Airport Surface Communications System Standards Development. Phase II Final Report. Volume 1: Concepts of Use, Initial System Requirements, Architecture, and AeroMACS Design Considerations",2011,hallCBandAirportSurface2011,"Hall, Edward and Isaacs, James and Henriksen, Steve and Zelkin, Natalie",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Case Study Report,2011,psychogiopoulouCaseStudyReport2011,"Psychogiopoulou, Evangelia and Dia Anagnostou, Anna",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cellulosic Biofuels: Expert Views on Prospects for Advancement,2011,bakerCellulosicBiofuelsExpert2011,"Baker, Erin and Keisler, Jeffrey M.",Energy,STAKEHOLDER_EXPERT(0.35); BAYESIAN_PROBABILISTIC(0.35),0.035,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In this paper we structure, obtain and analyze results of an expert elicitation on the relationship between U. S. government Research \& Development funding and the likelihood of achieving advances in cellulosic biofuel technologies. While there was disagreement among the experts on each of the technologies, the patterns of disagreement suggest several distinct strategies. Selective Thermal Processing appears to be the most promising path, with the main question being how much funding is required to achieve success. Thus, a staged investment in this path looks promising. With respect to gasification, there remains fundamental disagreement over whether success is possible even at higher funding levels. Thus, basic research into the viability of the path makes sense. The Hydrolysis path induced the widest range of responses from the experts, indicating there may be value in collecting more information on this technology.",
Challenges of Business Process Automation for Small and Medium Enterprises,2011,trapeznikovChallengesBusinessProcess2011,"Trapeznikov, Ivan",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,linter/error
Challenges of Business Process Automation for Small and Medium Enterprises,2011,trapeznikovChallengesBusinessProcess2011,"Trapeznikov, Ivan",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,linter/error
Checking the Price Tag on Catastrophe: The Social Cost of Carbon under Non-Linear Climate Response,2011,tolCheckingPriceTag2011,"Tol, Richard Sj",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Checking the Price Tag on Catastrophe: The Social Cost of Carbon under Non-Linear Climate Response,2011,tolCheckingPriceTag2011,"Tol, Richard Sj",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Checking the Price Tag on Catastrophe: The Social Cost of Carbon under Non-Linear Climate Response. ESRI WP392, June 2011",2011,ceronskyCheckingPriceTag2011a,"Ceronsky, Megan and Tol, Richard SJ and Anthoff, David and Hepburn, Cameron",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Checking the Price Tag on Catastrophe: The Social Cost of Carbon under Non-Linear Climate Response. ESRI WP392, June 2011",2011,ceronskyCheckingPriceTag2011a,"Ceronsky, Megan and Tol, Richard SJ and Anthoff, David and Hepburn, Cameron",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Climate Change Adaptation and Water Governance,2011,toCLIMATECHANGEADAPTATION2011,"To, Adaptation and Team, Climate Change",,POLICY_INTERVENTION(0.40); ENVIRONMENTAL_SUSTAINABILITY(0.40),0.04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Climate Change Adaptation and Water Governance,2011,toCLIMATECHANGEADAPTATION2011,"To, Adaptation and Team, Climate Change",,POLICY_INTERVENTION(0.40); ENVIRONMENTAL_SUSTAINABILITY(0.40),0.04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Combining Bayesian Networks and Total Cost of Ownership Method for Supplier Selection Analysis,2011,doganCombiningBayesianNetworks2011a,"Dogan, Ibrahim and Aydin, Nezir",Computers \& Industrial Engineering,DECISION_ANALYSIS(0.65); STAKEHOLDER_EXPERT(0.35); BAYESIAN_PROBABILISTIC(1.00); EVALUATION_ASSESSMENT(0.35),0.118,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"In this study, we analyze the supplier selection process by combining Bayesian Networks (BN) and Total Cost of Ownership (TCO) methods. The proposed approach aims to efficiently incorporate and exploit the buyer's domain-specific information when the buyer has both limited and uncertain information regarding the supplier. This study examines uncertainty from a total cost perspective, with regards to causes of supplier performance and capability on buyer's organization. The proposed approach is assessed and tested in automotive industry for tier-1 supplier for selecting its own suppliers. To efficiently facilitate expert opinions, we form factors to represent and explain various supplier selection criteria and to reduce complexity. The case study in automotive industry shows several advantages of the proposed method. A BN approach facilitates a more insightful evaluation and selection of alternatives given its semantics for decision making. The buyer can also make an accurate cost estimation that are specifically linked with suppliers' performance. Both buyer and supplier have clear vision to reduce costs and to improve the relations.",Bayesian; Bayesian Decision Analysis
Communicating Risks and Benefits: An Evidence-Based User's Guide,2011,fischhoffCommunicatingRisksBenefits2011,"Fischhoff, Baruch",This Volume,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Communicating Risks and Benefits: An Evidence-Based User's Guide,2011,fischhoffCommunicatingRisksBenefits2011,"Fischhoff, Baruch",This Volume,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Communicating about Analysis,2011,fischhoffCommunicatingAnalysis2011,"Fischhoff, Baruch",Intelligence Analysis: Behavioral and Social Scientific Foundations,BEHAVIORAL_PSYCHOLOGY(0.30),0.015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Communication around the Monthly Figures: A Case Study on Management Reporting Practices,2011,seppanenCommunicationMonthlyFigures2011,"Sepp\""anen, Anni-Maria",,STAKEHOLDER_EXPERT(0.35); QUALITY_PERFORMANCE(0.35); EVALUATION_ASSESSMENT(0.35),0.052,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"``Communication around the monthly figures:'' A case study on management reporting practices Objectives of the study The objective of the study was to find out if and how management reporting can be improved through good internal communication and knowledge sharing. Three case companies A, B and C from the same group were studied in order to reach the objective. Three research questions were identified: What are the existing management reporting procedures in Company B and Company C? In what ways do Companies B and C, with Company A, share knowledge in management reporting? Are the existing management reporting procedures sufficient for effective internal communication, and if not, how could they be improved? Methodology This study used the case study method for data collection. Data was collected through 10 semi-structured interviews in the case companies A, B and C. Six interviews were conducted face-to-face in Helsinki and four via email to reach employees positioned in Asia, Europe and Canada, or who otherwise were unavailable for face-to-face interviews. In addition, management reporting data such as process descriptions and Balanced Scorecards were provided by the case companies and observations were made by the researcher as she had worked for case companies B and C for nearly four years. The interview questions focused on management reporting, internal communication and knowledge sharing. Results of the study The research findings indicate that internal communication and knowledge sharing could improve management reporting. Internal communication occurred mainly through email in the case companies and knowledge sharing was sparse. The results of the study show a need for more knowledge sharing and suggestions for improved knowledge sharing were implementing an integrated computer system, having more regular meetings and changing the organizational culture from silence to transparency and openness. Key Words: International business communication, internal communication, knowledge sharing, Business Process Management, management reporting, reporting procedures",
Computer Disease Simulation Models,2011,rutterComputerDiseaseSimulation2011,"Rutter, Carolyn M. and Knudsen, Amy B. and Pandharipande, Pari V.",Academic Radiology,POLICY_INTERVENTION(0.70); MODELING_SIMULATION(0.50); ECONOMIC_EVALUATION(0.35); FORECASTING_PREDICTION(0.35); EVALUATION_ASSESSMENT(0.80),0.135,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"Computer disease simulation models are increasingly being used to evaluate and inform healthcare decisions across medical disciplines. The aim of researchers who develop these models is to integrate and synthesize short-term outcomes and results from multiple sources to predict the longterm clinical outcomes and costs of different healthcare strategies. Policy makers, in turn, can use the predictions generated by disease models together with other evidence to make decisions related to healthcare practices and resource utilization. Models are particularly useful when the existing evidence does not yield obvious answers or does not provide answers to the questions of greatest interest, such as questions about the relative cost effectiveness of different practices. In this review we focus on models used to inform decisions about imaging technology, discussing the role of disease models for health policy development and providing a foundation for understanding the basic principles of disease modeling. We draw from the collective computed tomographic colonography (CTC) modeling experience, reviewing 10 published investigations of the clinical effectiveness and cost-effectiveness of CTC relative to colonoscopy. We discuss the implications of different modeling assumptions and difficulties that may be encountered when evaluating the quality of models. Finally, we underscore the importance of forging stronger collaborations between researchers who develop disease models and radiologists, in order to ensure that policy-level models accurately represent the experience of everyday clinical practices.",
Conceptual Challenges and Theoretical Opportunities,2011,sundarConceptualChallengesTheoretical2011,"Sundar, S. Shyam and Rice, Ronald E. and Kim, Hyang-Sook and Sciamanna, Chris N.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Conceptualizing Salesperson Competitive Intelligence: An Individual-Level Perspective,2011,rappConceptualizingSalespersonCompetitive2011,"Rapp, Adam and Agnihotri, Raj and Baker, Thomas L.",Journal of Personal Selling \& Sales Management,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Conceptualizing and Communicating Ecological River Restoration,2011,jacobsonConceptualizingCommunicatingEcological2011,"Jacobson, Robert B. and Berkley, Jim","Stream Restoration in Dynamic Fluvial Systems: Scientific Approaches, Analyses, and Tools",NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Conservation in the Face of Climate Change: The Roles of Alternative Models, Monitoring, and Adaptation in Confronting and Reducing Uncertainty",2011,conroyConservationFaceClimate2011a,"Conroy, Michael J. and Runge, Michael C. and Nichols, James D. and Stodola, Kirk W. and Cooper, Robert J.",Biological Conservation,DECISION_ANALYSIS(0.35); SYSTEMS_COMPLEXITY(0.70); ENVIRONMENTAL_SUSTAINABILITY(1.00); FORECASTING_PREDICTION(0.45); EVALUATION_ASSESSMENT(0.85),0.168,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,"The broad physical and biological principles behind climate change and its potential large scale ecological impacts on biota are fairly well understood, although likely responses of biotic communities at fine spatio-temporal scales are not, limiting the ability of conservation programs to respond effectively to climate change outside the range of human experience. Much of the climate debate has focused on attempts to resolve key uncertainties in a hypothesis-testing framework. However, conservation decisions cannot await resolution of these scientific issues and instead must proceed in the face of uncertainty. We suggest that conservation should precede in an adaptive management framework, in which decisions are guided by predictions under multiple, plausible hypotheses about climate impacts. Under this plan, monitoring is used to evaluate the response of the system to climate drivers, and management actions (perhaps experimental) are used to confront testable predictions with data, in turn providing feedback for future decision making. We illustrate these principles with the problem of mitigating the effects of climate change on terrestrial bird communities in the southern Appalachian Mountains, USA.",
"Considerations for On-Demand, Web-Based Publishing",2011,demandConsiderationsOnDemandWebBased2011,"Demand, Web-Based",,COMPUTER_ASSISTED(0.40),0.02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Considerations for On-Demand, Web-Based Publishing",2011,demandConsiderationsOnDemandWebBased2011,"Demand, Web-Based",,COMPUTER_ASSISTED(0.40),0.02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Consumer Response to Novel Agri-Food Technologies: Implications for Predicting Consumer Acceptance of Emerging Food Technologies,2011,frewerConsumerResponseNovel2011,"Frewer, Lynn J. and Bergmann, Karin and Brennan, Mary and Lion, Rene and Meertens, Ree and Rowe, Gene and Siegrist, Michael and Vereijken, Cmjl",Trends in Food Science \& Technology,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Consumption and Asset Allocation with Unknown Income Growth,2011,wangConsumptionAssetAllocation2011,"Wang, Neng",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
